ID,,line,rep,Vol. Tel R,Vol. Tel L,tel,Vol. OT R,Vol. OT L,Total OT,Av. Length Cer,Av. Height Cer,Vol. Cer,Av. Length DM,Av. Height DM,Vol. DM,Vol. Hyp R,Vol. Hyp L,Total Hyp,Vol. OB R,Vol. OB L,Total OB,TotalBrain
1,,,,0.3344641,0.527323494,0.861787593,1.040280578,0.808518355,1.848798933,1.096,0.749,0.637082251,1.4915,0.5295,0.612903859,0.214986484,0.048153631,0.263140115,0.013571764,0.050611493,0.064183257,4.287896009
3,B2,B,2,0.328492361,0.339111831,0.667604192,1.0485467,1.015690524,2.064237224,1.202,0.94,0.892254184,1.507,0.4485,0.421897435,0.228037714,0.256366924,0.484404638,0.016945461,0.0161197,0.033065161,4.234970473
4,B1,B,1,0.330069111,0.38181439,0.711883501,0.872835451,1.005198066,1.878033517,1.071,0.9455,0.785876203,1.372,0.4665,0.371029389,0.261975573,0.271385799,0.533361372,0.015680441,0.020125621,0.035806062,4.315990043
6,B3,B,3,0.363965445,0.315507543,0.679472988,1.07915895,1.040883771,2.120042721,1.101,1.002,0.883896474,1.4675,0.5055,0.466937408,0.260850013,0.252192745,0.513042758,0.015110821,0.014880473,0.029991293,4.693383643
9,B1,B,1,0.37631837,0.349655166,0.725973535,0.880481623,0.963811231,1.844292855,0.913,0.964,0.69088279,1.681,0.513,0.519323349,0.295257259,0.257323155,0.552580414,0.015280434,0.014135615,0.029416049,4.362468992
10,B3,B,3,0.389327734,0.422946111,0.812273845,1.008861198,1.006489311,2.015350509,1.143,0.9025,0.791921879,1.6635,0.4695,0.445390769,0.235313091,0.25993389,0.495246981,0.014392269,0.019656352,0.034048621,4.594232603
11,B2,B,2,0.34700795,0.387143733,0.734151683,1.098798233,1.042668301,2.141466535,1.036,0.934,0.77222975,1.5295,0.5145,0.453708703,0.19739747,0.218425493,0.415822963,0.010091698,0.013985629,0.024077326,4.54145696
12,B3,B,3,0.321760728,0.314831024,0.636591752,0.972158701,1.017551017,1.989709718,1.0815,0.8855,0.763782886,1.504,0.5115,0.480605624,0.211202566,0.162289783,0.373492349,0.017145242,0.012051712,0.029196954,4.273379282
14,A2,A,2,0.328427362,0.38651444,0.714941803,1.01338395,1.00582036,2.01920431,1.137,0.972,0.87562991,1.6305,0.5065,0.498204519,0.213830851,0.223318278,0.43714913,0.014380039,0.013672497,0.028052535,4.573182207
17,B1,B,1,0.391669475,0.373974005,0.76564348,0.961852812,1.013520083,1.975372896,0.9875,0.8895,0.710207547,1.637,0.527,0.517724649,0.256873134,0.21331415,0.470187285,0.010796551,0.014779633,0.025576184,4.46471204
19,A2,A,2,0.292230744,0.36557657,0.657807314,0.889531226,1.028824335,1.918355561,0.9825,0.935,0.728805654,1.573,0.457,0.435168736,0.238302099,0.22871282,0.467014919,0.012080176,0.009842328,0.021922504,4.229074689
22,A3,A,3,0.380129384,0.403253511,0.783382895,1.060481238,1.060148001,2.120629239,1.083,0.963,0.809936228,1.5635,0.525,0.637460487,0.260335647,0.260826512,0.521162159,0.013036243,0.00276452,0.015800763,4.888371771
24,B3,B,3,0.352083232,0.365263313,0.717346545,1.080308807,1.090869248,2.171178054,1.126,0.916,0.818279041,1.7085,0.4845,0.489392869,0.259848436,0.306709673,0.566558109,0.017468619,0.020323908,0.037792527,4.448463912
26,A3,A,3,0.414997743,0.395288657,0.8102864,1.016138768,1.08106285,2.097201618,1.0915,0.958,0.833957815,1.6385,0.4875,0.483959874,0.221838874,0.23956268,0.461401554,0.012097049,0.014353121,0.02645017,4.71325743
27,B2,B,2,0.325898077,0.401146052,0.727044129,0.86464222,1.061202934,1.925845154,1.2105,0.7875,0.749790993,1.5915,0.4185,0.423075461,0.290167175,0.218102016,0.508269191,0.015906375,0.016764008,0.032670383,4.366695312
31,A1,A,1,0.376007853,0.366456755,0.742464608,0.922157991,0.940309317,1.862467308,1.0725,0.9235,0.776964085,1.7105,0.449,0.456880562,0.230676607,0.266026141,0.496702748,0.0163671,0.020910839,0.03727794,4.37275725
33,B2,B,2,0.32124202,0.353937733,0.675179753,0.973459334,1.0547422,2.028201533,1.1645,0.9135,0.861773804,1.5555,0.4125,0.388088598,0.188517253,0.206159769,0.394677022,0.016181143,0.015496115,0.031677258,4.379597968
34,B2,B,2,0.283473754,0.335665214,0.619138968,0.918770921,1.052109911,1.970880832,1.179,0.947,0.826738426,1.515,0.4425,0.393537798,0.255487174,0.27770332,0.533190494,0.018645084,0.014510793,0.033155876,4.376642394
35,A3,A,3,0.29329769,0.300667106,0.593964796,0.951913805,1.04423166,1.996145465,1.0215,0.9195,0.70385738,1.501,0.4775,0.418488825,0.249648835,0.192405355,0.442054191,0.018246926,0.011310253,0.029557179,4.184067837
37,A1,A,1,0.293129578,0.309749759,0.602879338,0.911196941,0.986924332,1.898121273,1.0545,0.8375,0.701571456,1.429,0.477,0.402994835,0.266648579,0.238884532,0.505533111,0.011086516,0.011469481,0.022555997,4.133656009
38,A2,A,2,0.364213702,0.380394902,0.744608604,1.037417307,1.067205989,2.104623296,0.91,0.9635,0.686418902,1.3505,0.508,0.414590207,0.230386321,0.240177355,0.470563675,0.006801594,0.014222586,0.02102418,4.441828865
39,B1,B,1,0.365047319,0.25612768,0.621174999,0.912875865,0.812248525,1.72512439,1.0115,0.8605,0.653613244,1.4605,0.4735,0.519308733,0.199069278,0.255876772,0.454946049,0.010630415,0.014523133,0.025153548,3.999320963
40,B2,B,2,0.376673231,0.368506831,0.745180062,0.947490444,0.889443738,1.836934183,1.064,0.8935,0.735809769,1.5615,0.462,0.424246874,0.196985537,0.200834824,0.397820361,0.012060923,0.012941667,0.02500259,3.788320606
41,B1,B,1,0.388959711,0.39859681,0.787556521,0.89843114,1.005039031,1.903470171,0.93,0.9785,0.717191624,1.598,0.511,0.496888257,0.246163132,0.225779014,0.471942146,0.009580096,0.007691588,0.017271684,4.394320403
