trial,selection,replicate,id,seconds,color,side,assignedR,choice
1,B,2,2,3600,Y,R,R,1
2,B,2,2,64,R,L,R,0
3,B,2,2,206,R,L,R,0
1,B,2,3,275,Y,L,Y,0
2,B,2,3,61,Y,L,Y,0
3,B,2,3,440,Y,L,Y,0
1,B,1,4,3600,Y,L,Y,0
2,B,1,4,135,Y,L,Y,0
3,B,1,4,157,Y,L,Y,0
1,B,3,6,3600,Y,R,Y,0
2,B,3,6,3600,Y,R,Y,0
3,B,3,6,3600,Y,R,Y,0
1,B,1,9,93,Y,L,R,1
2,B,1,9,398,Y,L,R,1
3,B,1,9,107,Y,L,R,1
1,B,3,10,656,Y,R,Y,0
2,B,3,10,72,Y,R,Y,0
3,B,3,10,560,Y,L,Y,0
1,B,2,11,156,Y,L,R,1
2,B,2,11,141,Y,L,R,1
3,B,2,11,755,R,R,R,0
1,B,3,12,2113,Y,R,R,1
2,B,3,12,131,Y,R,R,1
3,B,3,12,231,Y,L,R,1
1,A,2,14,340,Y,R,Y,0
2,A,2,14,41,Y,R,Y,0
3,A,2,14,24,R,R,Y,1
1,B,1,17,105,Y,R,Y,0
2,B,1,17,544,Y,R,Y,0
3,B,1,17,1283,Y,L,Y,0
1,A,2,19,1245,Y,L,Y,0
2,A,2,19,93,Y,L,Y,0
3,A,2,19,57,Y,R,Y,0
1,A,3,22,111,Y,L,R,1
2,A,3,22,178,R,R,R,0
3,A,3,22,165,R,R,R,0
1,B,3,24,NA,Y,R,Y,0
2,B,3,24,NA,R,R,Y,1
3,B,3,24,NA,NA,NA,Y,NA
1,A,3,26,98,Y,L,Y,0
2,A,3,26,507,Y,L,Y,0
3,A,3,26,429,R,R,Y,1
1,B,2,27,1161,R,L,R,0
2,B,2,27,341,R,L,R,0
3,B,2,27,20,R,L,R,0
1,A,1,31,88,R,L,R,0
2,A,1,31,33,R,L,R,0
3,A,1,31,378,R,L,R,0
1,B,2,33,93,Y,L,Y,0
2,B,2,33,74,Y,L,Y,0
3,B,2,33,19,Y,L,Y,0
1,B,2,34,110,Y,R,R,1
2,B,2,34,67,Y,R,R,1
3,B,2,34,30,Y,L,R,1
1,A,3,35,219,Y,L,Y,0
2,A,3,35,31,Y,L,Y,0
3,A,3,35,135,R,L,Y,1
1,A,1,37,965,Y,R,Y,0
2,A,1,37,105,Y,R,Y,0
3,A,1,37,284,R,R,Y,1
1,A,2,38,385,Y,L,R,1
2,A,2,38,73,R,L,R,0
3,A,2,38,167,R,R,R,0
1,B,1,39,290,R,R,R,0
2,B,1,39,75,Y,L,R,1
3,B,1,39,46,Y,R,R,1
1,B,2,40,231,R,R,Y,1
2,B,2,40,101,Y,L,Y,0
3,B,2,40,94,Y,R,Y,0
1,B,1,41,156,Y,L,Y,0
2,B,1,41,113,Y,R,Y,0
3,B,1,41,494,R,R,Y,1
1,A,1,42,3600,R,L,Y,1
2,A,1,42,3600,Y,L,Y,0
3,A,1,42,3600,Y,R,Y,0
1,B,3,43,3600,Y,L,Y,0
2,B,3,43,3600,Y,R,Y,0
3,B,3,43,3600,NA,NA,Y,NA
1,A,3,44,2654,Y,R,Y,0
2,A,3,44,14,Y,L,Y,0
