id,selection,replicate,trial,bins,totalbins,time,touch
1,C,1,1,2,2,2400,1
1,C,1,2,19,,22800,1
1,C,1,3,,,1200,1
1,C,1,4,,,1200,1
1,C,1,5,,,595,1
1,C,1,6,,,30,0
1,C,1,7,,,118,1
1,C,1,8,,,30,1
1,C,1,9,,,18,1
1,C,1,10,,,94,1
1,C,1,11,,,689,1
1,C,1,12,,,10,1
2,B,2,1,19,20,22800,1
2,B,2,2,1,,1200,1
2,B,2,3,,,1200,1
2,B,2,4,,,338,1
2,B,2,5,,,59,1
2,B,2,6,,,107,1
2,B,2,7,,,112,1
2,B,2,8,,,30,1
2,B,2,9,,,106,1
2,B,2,10,,,58,0
2,B,2,11,,,142,1
2,B,2,12,,,85,1
3,B,2,1,19,20,22800,1
3,B,2,2,1,,1200,1
3,B,2,3,,,1102,1
3,B,2,4,,,531,1
3,B,2,5,,,32,1
3,B,2,6,,,21,1
3,B,2,7,,,48,1
3,B,2,8,,,32,1
3,B,2,9,,,24,1
3,B,2,10,,,30,1
3,B,2,11,,,16,1
3,B,2,12,,,144,1
4,B,1,1,1,1,1200,1
4,B,1,2,1,,1200,1
4,B,1,3,,,1200,1
4,B,1,4,,,1070,1
4,B,1,5,,,29,1
4,B,1,6,,,1200,1
4,B,1,7,,,9,0
4,B,1,8,,,36,0
4,B,1,9,,,70,1
4,B,1,10,,,12,1
4,B,1,11,,,60,1
4,B,1,12,,,7,0
5,C,2,1,2,2,2400,1
5,C,2,2,2,,2400,1
5,C,2,3,,,97,1
5,C,2,4,,,98,1
5,C,2,5,,,90,1
5,C,2,6,,,267,1
5,C,2,7,,,86,1
5,C,2,8,,,21,1
5,C,2,9,,,29,1
5,C,2,10,,,17,1
5,C,2,11,,,14,1
5,C,2,12,,,40,1
6,B,3,1,19,38,22800,1
6,B,3,2,19,,22800,1
6,B,3,3,,,238,1
6,B,3,4,,,72,1
6,B,3,5,,,58,1
6,B,3,6,,,82,1
6,B,3,7,,,34,1
6,B,3,8,,,81,0
6,B,3,9,,,25,1
6,B,3,10,,,68,1
6,B,3,11,,,28,0
6,B,3,12,,,15,1
7,C,1,1,1,1,1200,1
7,C,1,2,1,,1200,1
7,C,1,3,,,12,1
7,C,1,4,,,82,1
7,C,1,5,,,103,1
7,C,1,6,,,14,1
7,C,1,7,,,13,1
7,C,1,8,,,4,0
7,C,1,9,,,16,1
7,C,1,10,,,15,1
