experiment,id,trial,replicate,choice,selection,colour
aslearning,2,1,2,0,B,y
aslearning,2,2,2,1,B,y
aslearning,2,3,2,1,B,y
aslearning,2,4,2,1,B,y
aslearning,2,5,2,1,B,y
aslearning,2,6,2,1,B,y
aslearning,2,7,2,1,B,y
aslearning,2,8,2,1,B,y
aslearning,2,9,2,1,B,y
aslearning,2,10,2,1,B,y
aslearning,2,11,2,1,B,y
aslearning,2,12,2,1,B,y
aslearning,2,13,2,1,B,y
aslearning,2,14,2,1,B,y
aslearning,2,15,2,1,B,y
aslearning,2,16,2,1,B,y
aslearning,2,17,2,1,B,y
aslearning,2,18,2,1,B,y
aslearning,2,19,2,1,B,y
aslearning,2,20,2,1,B,y
aslearning,2,21,2,1,B,y
aslearning,2,22,2,1,B,y
aslearning,2,23,2,1,B,y
aslearning,2,24,2,1,B,y
aslearning,2,25,2,1,B,y
aslearning,2,26,2,1,B,y
aslearning,2,27,2,1,B,y
aslearning,2,28,2,1,B,y
aslearning,2,29,2,1,B,y
aslearning,2,30,2,1,B,y
aslearning,3,1,2,0,B,r
aslearning,3,2,2,1,B,r
aslearning,3,3,2,1,B,r
aslearning,3,4,2,1,B,r
aslearning,3,5,2,1,B,r
aslearning,3,6,2,1,B,r
aslearning,3,7,2,1,B,r
aslearning,3,8,2,1,B,r
aslearning,3,9,2,1,B,r
aslearning,3,10,2,1,B,r
aslearning,3,11,2,0,B,r
aslearning,3,12,2,1,B,r
aslearning,3,13,2,1,B,r
aslearning,3,14,2,1,B,r
aslearning,3,15,2,1,B,r
aslearning,3,16,2,1,B,r
aslearning,3,17,2,1,B,r
aslearning,3,18,2,1,B,r
aslearning,3,19,2,1,B,r
aslearning,3,20,2,1,B,r
aslearning,3,21,2,1,B,r
aslearning,3,22,2,1,B,r
aslearning,3,23,2,1,B,r
aslearning,3,24,2,1,B,r
aslearning,3,25,2,1,B,r
aslearning,3,26,2,1,B,r
aslearning,3,27,2,0,B,r
aslearning,3,28,2,1,B,r
aslearning,3,29,2,1,B,r
aslearning,3,30,2,1,B,r
aslearning,4,1,1,0,B,r
aslearning,4,2,1,0,B,r
aslearning,4,3,1,0,B,r
aslearning,4,4,1,0,B,r
aslearning,4,5,1,1,B,r
aslearning,4,6,1,1,B,r
aslearning,4,7,1,1,B,r
aslearning,4,8,1,1,B,r
aslearning,4,9,1,1,B,r
aslearning,4,10,1,1,B,r
aslearning,4,11,1,1,B,r
aslearning,4,12,1,1,B,r
aslearning,4,13,1,1,B,r
aslearning,4,14,1,1,B,r
aslearning,4,15,1,1,B,r
aslearning,4,16,1,1,B,r
