id,selection,replicate,side,trial,RL,choice,time(s)
102,B,1,R,1,R,1,3
102,B,1,R,2,R,1,
102,B,1,R,3,L,0,
102,B,1,R,4,R,1,
102,B,1,R,5,R,1,
102,B,1,R,6,R,1,
102,B,1,R,7,L,0,
102,B,1,R,8,R,1,
102,B,1,R,9,R,1,
102,B,1,R,10,R,1,
102,B,1,R,11,R,1,
102,B,1,R,12,R,1,
102,B,1,R,13,R,1,
102,B,1,R,14,R,1,
102,B,1,R,15,R,1,
102,B,1,R,16,R,1,
102,B,1,R,17,R,1,
102,B,1,R,18,R,1,
102,B,1,R,19,R,1,
102,B,1,R,20,R,1,
102,B,1,R,21,R,1,
102,B,1,R,22,L,0,
102,B,1,R,23,R,1,
102,B,1,R,24,L,0,
102,B,1,R,25,R,1,
102,B,1,R,26,R,1,
102,B,1,R,27,L,0,
102,B,1,R,28,R,1,
102,B,1,R,29,R,1,
102,B,1,R,30,R,1,
102,B,1,R,31,R,1,
102,B,1,R,32,R,1,
102,B,1,R,33,R,1,
102,B,1,R,34,R,1,
102,B,1,R,35,R,1,
102,B,1,R,36,L,0,
102,B,1,R,37,R,1,
102,B,1,R,38,R,1,
102,B,1,R,39,R,1,
102,B,1,R,40,R,1,
103,B,2,L,1,L,1,428
103,B,2,L,2,L,1,
103,B,2,L,3,L,1,
103,B,2,L,4,L,1,
103,B,2,L,5,L,1,
103,B,2,L,6,R,0,
103,B,2,L,7,L,1,
103,B,2,L,8,L,1,
103,B,2,L,9,L,1,
103,B,2,L,10,L,1,
103,B,2,L,11,L,1,
103,B,2,L,12,L,1,
103,B,2,L,13,L,1,
103,B,2,L,14,L,1,
103,B,2,L,15,L,1,
103,B,2,L,16,L,1,
103,B,2,L,17,L,1,
103,B,2,L,18,L,1,
103,B,2,L,19,L,1,
103,B,2,L,20,L,1,
103,B,2,L,21,L,1,
103,B,2,L,22,L,1,
103,B,2,L,23,L,1,
103,B,2,L,24,L,1,
103,B,2,L,25,L,1,
103,B,2,L,26,L,1,
103,B,2,L,27,L,1,
103,B,2,L,28,L,1,
103,B,2,L,29,L,1,
103,B,2,L,30,L,1,
103,B,2,L,31,L,1,
103,B,2,L,32,L,1,
103,B,2,L,33,L,1,
103,B,2,L,34,L,1,
103,B,2,L,35,L,1,
103,B,2,L,36,L,1,
103,B,2,L,37,L,1,
103,B,2,L,38,L,1,
103,B,2,L,39,L,1,
103,B,2,L,40,L,1,
105,B,2,R,1,R,1,13
105,B,2,R,2,L,0,
105,B,2,R,3,R,1,
105,B,2,R,4,R,1,
105,B,2,R,5,R,1,
105,B,2,R,6,R,1,
105,B,2,R,7,R,1,
105,B,2,R,8,R,1,
105,B,2,R,9,R,1,
105,B,2,R,10,R,1,
105,B,2,R,11,R,1,
105,B,2,R,12,R,1,
105,B,2,R,13,R,1,
105,B,2,R,14,R,1,
105,B,2,R,15,R,1,
105,B,2,R,16,R,1,
105,B,2,R,17,L,0,
105,B,2,R,18,R,1,
105,B,2,R,19,R,1,
105,B,2,R,20,L,0,
105,B,2,R,21,R,1,
105,B,2,R,22,R,1,
105,B,2,R,23,R,1,
105,B,2,R,24,R,1,
105,B,2,R,25,L,0,
105,B,2,R,26,L,0,
105,B,2,R,27,L,0,
105,B,2,R,28,R,1,
105,B,2,R,29,R,1,
105,B,2,R,30,R,1,
105,B,2,R,31,R,1,
105,B,2,R,32,R,1,
105,B,2,R,33,R,1,
105,B,2,R,34,R,1,
105,B,2,R,35,R,1,
105,B,2,R,36,R,1,
105,B,2,R,37,L,0,
105,B,2,R,38,R,1,
105,B,2,R,39,R,1,
105,B,2,R,40,R,1,
106,A,1,L,1,L,1,161
106,A,1,L,2,L,1,
106,A,1,L,3,L,1,
106,A,1,L,4,L,1,
106,A,1,L,5,L,1,
106,A,1,L,6,L,1,
106,A,1,L,7,L,1,
106,A,1,L,8,L,1,
106,A,1,L,9,R,0,
106,A,1,L,10,L,1,
106,A,1,L,11,L,1,
106,A,1,L,12,L,1,
106,A,1,L,13,L,1,
106,A,1,L,14,L,1,
106,A,1,L,15,L,1,
106,A,1,L,16,L,1,
106,A,1,L,17,L,1,
106,A,1,L,18,L,1,
106,A,1,L,19,L,1,
106,A,1,L,20,L,1,
106,A,1,L,21,L,1,
106,A,1,L,22,L,1,
106,A,1,L,23,L,1,
106,A,1,L,24,L,1,
106,A,1,L,25,L,1,
106,A,1,L,26,R,0,
106,A,1,L,27,L,1,
106,A,1,L,28,L,1,
106,A,1,L,29,L,1,
106,A,1,L,30,L,1,
106,A,1,L,31,L,1,
106,A,1,L,32,L,1,
106,A,1,L,33,L,1,
106,A,1,L,34,L,1,
106,A,1,L,35,R,0,
106,A,1,L,36,L,1,
106,A,1,L,37,L,1,
106,A,1,L,38,L,1,
106,A,1,L,39,L,1,
106,A,1,L,40,L,1,
107,B,1,R,1,R,1,2
107,B,1,R,2,R,1,
107,B,1,R,3,L,0,
107,B,1,R,4,L,0,
107,B,1,R,5,R,1,
107,B,1,R,6,L,0,
107,B,1,R,7,R,1,
107,B,1,R,8,R,1,
107,B,1,R,9,R,1,
107,B,1,R,10,R,1,
107,B,1,R,11,R,1,
107,B,1,R,12,R,1,
107,B,1,R,13,L,0,
107,B,1,R,14,R,1,
107,B,1,R,15,R,1,
107,B,1,R,16,R,1,
107,B,1,R,17,R,1,
107,B,1,R,18,R,1,
107,B,1,R,19,R,1,
107,B,1,R,20,L,0,
107,B,1,R,21,R,1,
107,B,1,R,22,R,1,
107,B,1,R,23,R,1,
107,B,1,R,24,R,1,
107,B,1,R,25,L,0,
107,B,1,R,26,L,0,
107,B,1,R,27,L,0,
107,B,1,R,28,L,0,
107,B,1,R,29,R,1,
107,B,1,R,30,L,0,
107,B,1,R,31,R,1,
107,B,1,R,32,R,1,
107,B,1,R,33,R,1,
107,B,1,R,34,L,0,
107,B,1,R,35,R,1,
107,B,1,R,36,R,1,
107,B,1,R,37,L,0,
107,B,1,R,38,R,1,
107,B,1,R,39,R,1,
107,B,1,R,40,R,1,
108,B,1,L,1,L,1,3
108,B,1,L,2,L,1,
108,B,1,L,3,R,0,
108,B,1,L,4,L,1,
108,B,1,L,5,L,1,
108,B,1,L,6,L,1,
108,B,1,L,7,R,0,
108,B,1,L,8,R,0,
108,B,1,L,9,L,1,
108,B,1,L,10,R,0,
108,B,1,L,11,L,1,
108,B,1,L,12,L,1,
108,B,1,L,13,L,1,
108,B,1,L,14,L,1,
108,B,1,L,15,L,1,
108,B,1,L,16,L,1,
108,B,1,L,17,R,0,
108,B,1,L,18,L,1,
108,B,1,L,19,L,1,
108,B,1,L,20,L,1,
108,B,1,L,21,L,1,
108,B,1,L,22,R,0,
108,B,1,L,23,R,0,
108,B,1,L,24,L,1,
108,B,1,L,25,L,1,
108,B,1,L,26,L,1,
108,B,1,L,27,L,1,
108,B,1,L,28,L,1,
108,B,1,L,29,L,1,
108,B,1,L,30,L,1,
108,B,1,L,31,L,1,
108,B,1,L,32,R,0,
108,B,1,L,33,L,1,
108,B,1,L,34,R,0,
108,B,1,L,35,L,1,
108,B,1,L,36,L,1,
108,B,1,L,37,L,1,
108,B,1,L,38,L,1,
108,B,1,L,39,R,0,
108,B,1,L,40,L,1,
109,A,1,R,1,L,0,275
109,A,1,R,2,R,1,
109,A,1,R,3,R,1,
109,A,1,R,4,R,1,
109,A,1,R,5,R,1,
109,A,1,R,6,R,1,
109,A,1,R,7,R,1,
109,A,1,R,8,R,1,
109,A,1,R,9,R,1,
109,A,1,R,10,R,1,
109,A,1,R,11,R,1,
109,A,1,R,12,R,1,
109,A,1,R,13,R,1,
109,A,1,R,14,L,0,
109,A,1,R,15,R,1,
109,A,1,R,16,R,1,
109,A,1,R,17,R,1,
109,A,1,R,18,R,1,
109,A,1,R,19,R,1,
109,A,1,R,20,R,1,
109,A,1,R,21,R,1,
109,A,1,R,22,R,1,
109,A,1,R,23,R,1,
109,A,1,R,24,R,1,
109,A,1,R,25,R,1,
109,A,1,R,26,R,1,
109,A,1,R,27,R,1,
109,A,1,R,28,R,1,
109,A,1,R,29,R,1,
